genre_ids,id_x,original_language,original_title,popularity,vote_average,vote_count,title_clean,release_date,movie,production_budget,worldwide_gross,title,domestic_gross,foreign_gross
"[99, 36]",450875,en,LA 92,2.806,8.3,23,la 92,2017-04-28,la 92,0.0,0.0,la 92,0.0,0.0
[28],451349,en,Black Site Delta,2.796,5.8,18,black site delta,2017-05-05,black site delta,0.0,0.0,black site delta,0.0,0.0
[53],451004,en,The Spearhead Effect,2.79,7.5,6,the spearhead effect,2017-01-01,the spearhead effect,0.0,0.0,the spearhead effect,0.0,0.0
[28],438455,en,The Archer,2.788,5.5,36,the archer,2017-03-11,the archer,0.0,0.0,the archer,0.0,0.0
[99],484133,en,Nude,2.783,5.7,5,nude,2017-10-29,nude,0.0,0.0,nude,0.0,0.0
[27],466344,en,The Houses October Built 2,2.779,4.9,33,the houses october built 2,2017-09-22,the houses october built 2,0.0,0.0,the houses october built 2,0.0,0.0
[27],442824,en,VooDoo,2.778,4.3,15,voodoo,2017-02-24,voodoo,0.0,0.0,voodoo,0.0,0.0
"[12, 18, 10749]",431244,en,Lost in Florence,2.777,5.0,30,lost in florence,2017-01-27,lost in florence,0.0,0.0,lost in florence,0.0,0.0
[27],456950,en,WTF!,2.768,4.5,20,wtf!,2017-08-01,wtf!,0.0,0.0,wtf!,0.0,0.0
"[27, 18, 53]",424284,en,Desolation,2.766,4.3,12,desolation,2017-12-15,desolation,0.0,0.0,desolation,0.0,0.0
"[18, 35]",414455,en,Chronically Metropolitan,2.761,5.6,21,chronically metropolitan,2017-08-04,chronically metropolitan,0.0,0.0,chronically metropolitan,0.0,0.0
"[12, 18]",438461,en,Lane 1974,2.75,8.0,6,lane 1974,2017-03-11,lane 1974,0.0,0.0,lane 1974,0.0,0.0
"[10770, 18]",450679,en,The Perfect Catch,2.74,6.3,18,the perfect catch,2017-04-22,the perfect catch,0.0,0.0,the perfect catch,0.0,0.0
